Stock,Signal,Setup,WeeklyTrend,MTF,Price,Score,RSI,VolSurge,Entry,SL,Target1,Target2,RR,Sector
TORNTPHARM.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),4924.0,50,45.1,0.44,4924.0,4770.04,5116.45,5373.05,2.9,Nifty Auto
PHOENIXLTD.NS,WATCH,Consolidating,UP,✅ MTF Eligible (Dhan),1895.5,50,27.6,0.43,1895.5,1835.89,1970.01,2069.35,2.9,Nifty Auto
RELIANCE.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1334.8,49,52.7,0.8,1334.8,1307.34,1369.13,1414.9,2.9,Nifty Auto
VEDL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),278.85,49,69.7,0.86,278.85,271.08,288.56,301.51,2.9,Nifty Auto
IRCON.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),131.25,49,54.3,0.81,131.25,128.08,135.21,140.49,2.9,Nifty Auto
RVNL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),233.38,49,59.2,1.02,233.38,227.02,241.33,251.94,2.9,Nifty Auto
MCX.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),2638.0,49,29.2,0.83,2638.0,2556.58,2739.77,2875.47,2.9,Nifty Auto
IREDA.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),119.8,49,42.2,0.99,119.8,116.98,123.33,128.03,2.9,Nifty Auto
BANDHANBNK.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),176.02,49,23.2,0.5,176.02,166.89,187.43,202.65,2.9,Nifty Auto
IRFC.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),88.75,49,50.2,0.77,88.75,87.01,90.93,93.83,2.9,Nifty Auto
HDFCAMC.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),2545.0,49,37.1,0.35,2545.0,2477.42,2629.47,2742.1,2.9,Nifty Auto
COALINDIA.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),415.25,49,39.2,0.52,415.25,407.98,424.33,436.44,2.9,Nifty Auto
ADANIPORTS.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),1693.5,49,20.3,1.13,1693.5,1647.85,1750.56,1826.65,2.9,Nifty Auto
BANKBARODA.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),250.7,49,45.1,0.79,250.7,244.51,258.44,268.75,2.9,Nifty Bank
TATACONSUM.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),1082.3,49,47.5,0.61,1082.3,1053.37,1118.46,1166.68,2.9,Nifty Auto
HINDUNILVR.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),2096.0,49,45.1,0.52,2096.0,2038.06,2168.43,2265.0,2.9,Nifty Auto
WIPRO.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),187.53,49,72.8,0.49,187.53,182.91,193.31,201.02,2.9,Nifty Auto
DRREDDY.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),1172.0,49,32.8,0.49,1172.0,1141.33,1210.34,1261.45,2.9,Nifty Auto
MUTHOOTFIN.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),2890.0,49,42.8,0.67,2890.0,2764.24,3047.2,3256.8,2.9,Nifty Auto
ONGC.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),238.85,49,30.5,0.87,238.85,233.56,245.47,254.29,2.9,Nifty Auto
POWERGRID.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),271.6,49,27.2,0.86,271.6,264.95,279.91,291.0,2.9,Nifty Auto
NTPC.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),342.5,49,44.8,0.74,342.5,335.54,351.21,362.81,2.9,Nifty Auto
TATASTEEL.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),187.55,49,52.3,0.47,187.55,183.12,193.09,200.48,2.9,Nifty Auto
AXISBANK.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),1238.0,49,43.8,0.45,1238.0,1212.93,1269.34,1311.13,2.9,Nifty Bank
ITC.NS,AVOID,Tight Flag 🗜️,DOWN,✅ MTF Eligible (Dhan),286.1,49,56.5,0.39,286.1,280.21,293.46,303.28,2.9,Nifty Auto
HDFCLIFE.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),540.0,49,34.2,0.36,540.0,528.79,554.01,572.7,2.9,Nifty Auto
BSE.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),3457.1,49,37.3,1.36,3457.1,3343.55,3599.03,3788.28,2.9,Nifty Auto
ICICIPRULI.NS,AVOID,Consolidating,DOWN,✅ MTF Eligible (Dhan),501.05,49,52.3,0.44,501.05,489.6,515.36,534.44,2.9,Nifty Auto
